hansen_treeD;hansen_treeD_1km;Habitat
89;91.36894989;Mature_forest
95;91.36894989;Secondary_Growth
90;91.36894989;Mature_forest
90;91.36894989;Mature_forest
90;88.92657471;Mature_forest
90;90.58855438;Mature_forest
90;90.58855438;Secondary_Growth
90;90.58855438;Secondary_Growth
89;90.0652771;Secondary_Growth
90;89.15386963;Secondary_Growth
90;89.15386963;Secondary_Growth
93;88.94052124;Secondary_Growth
90;88.94052124;Mature_forest
17;85.6584549;Mature_forest
95;85.6584549;Mature_forest
95;85.6584549;Secondary_Growth
81;83.57977295;Forest_fragment/Riparian_strip
44;80.27516174;Secondary_Growth
90;80.27516174;Mature_forest
90;81.46889496;Mature_forest
90;81.46889496;Mature_forest
90;78.89599609;Mature_forest
46;64.14103699;Forest_fragment/Riparian_strip
44;64.14103699;Secondary_Growth
90;54.5357666;Forest_fragment/Riparian_strip
90;85.6584549;Mature_forest
95;81.26563263;Secondary_Growth
95;81.26563263;Mature_forest
95;81.26563263;Secondary_Growth
95;81.26563263;Secondary_Growth
90;73.49623108;Secondary_Growth
90;73.49623108;Mature_forest
90;73.49623108;Mature_forest
90;85.66732025;Secondary_Growth
95;85.66732025;Mature_forest
90;85.66732025;Secondary_Growth
95;85.66732025;Secondary_Growth
95;85.66732025;Mature_forest
95;85.69706726;Mature_forest
95;91.19317627;Mature_forest
95;91.19317627;Mature_forest
95;91.19317627;Mature_forest
95;91.19317627;Secondary_Growth
90;91.19317627;Mature_forest
95;91.19317627;Mature_forest
90;92.50920105;Mature_forest
95;92.61013794;Mature_forest
90;92.61013794;Mature_forest
90;92.61013794;Mature_forest
98;79.29582977;Secondary_Growth
76;79.29582977;Secondary_Growth
74;79.29582977;Mature_forest
90;79.29582977;Mature_forest
89;91.29969788;Mature_forest
90;91.29969788;Secondary_Growth
77;91.29969788;Mature_forest
90;91.29969788;Mature_forest
44;91.64938354;Secondary_Growth
90;91.64938354;Mature_forest
95;91.64938354;Mature_forest
91;91.64938354;Mature_forest
95;91.87703705;Mature_forest
90;91.87703705;Mature_forest
90;91.87703705;Mature_forest
90;86.66078949;Secondary_Growth
95;86.66078949;Secondary_Growth
95;86.66078949;Mature_forest
91;86.66078949;Mature_forest
95;86.66078949;Mature_forest
82;86.66078949;Secondary_Growth
60;91.71636963;Mature_forest
90;91.87703705;Mature_forest
90;91.87703705;Mature_forest
90;91.87703705;Mature_forest
90;91.87703705;Mature_forest
90;91.87703705;Mature_forest
90;89.09527588;Mature_forest
90;86.40930176;Secondary_Growth
93;86.40930176;Mature_forest
90;89.09527588;Mature_forest
90;89.09527588;Mature_forest
90;89.09527588;Mature_forest
93;90.76593781;Mature_forest
90;90.76593781;Mature_forest
92;90.76593781;Mature_forest
93;90.76593781;Mature_forest
90;90.76593781;Mature_forest
95;90.76593781;Mature_forest
89;90.76593781;Secondary_Growth
95;91.80039215;Mature_forest
90;73.64570618;Mature_forest
90;80.31226349;Mature_forest
75;80.31226349;Mature_forest
63;80.31226349;Mature_forest
86;80.31226349;Mature_forest
90;80.31226349;Mature_forest
81;83.1181488;Secondary_Growth
90;83.1181488;Secondary_Growth
60;83.1181488;Mature_forest
68;83.1181488;Mature_forest
90;77.89211273;Mature_forest
90;77.89211273;Mature_forest
90;81.58778381;Mature_forest
90;81.58778381;Mature_forest
72;81.58778381;Mature_forest
90;80.80241394;Forest_fragment/Riparian_strip
95;80.80241394;Forest_fragment/Riparian_strip
90;80.80241394;Forest_fragment/Riparian_strip
90;80.80241394;Mature_forest
0;80.80241394;Forest_fragment/Riparian_strip
99;86.09531403;Mature_forest
99;86.09531403;Mature_forest
95;81.40219116;Mature_forest
95;81.40219116;Mature_forest
95;81.40219116;Secondary_Growth
95;86.09531403;Mature_forest
