Complex,SPRmlF,SPRF,SPRml,SPRuv
C1,,,0.696,0.05527556
C1,,,0.697,0.05263659
C1,,,0.698,0.03903279
C1,,,0.699,0.0488956
C1,,,0.7,0.06345114
C1,,,0.7,0.05121084
C1,,,0.701,0.0174459
C1,,,0.702,0.009960956
C1,,,0.703,0.03280866
C1,,,0.704,0.03213205
C1,,,0.705,0.01251314
C1,,,0.705,0.02641538
C1,,,0.706,0.05078305
C1,,,0.707,0.0528948
C1,,,0.708,0.04957001
C1,,,0.709,0.05470593
C1,,,0.71,0.05821019
C1,,,0.71,0.04900783
C1,,,0.711,0.04753832
C1,,,0.712,0.03694153
C1,,,0.713,0.01580317
C1,,,0.714,0.005928177
C1,,,0.715,0.000545111
C1,,,0.715,0.00407775
C1,,,0.716,0.02735467
C1,,,0.717,0.0433207
C1,,,0.718,0.02560915
C1,,,0.719,0.005939839
C1,,,0.72,0.01598785
C1,,,0.72,0.02943266
C1,,,0.721,0.03227242
C1,,,0.722,0.03493726
C1,,,0.723,0.0152732
C1,,,0.724,-0.004684787
C1,,,0.725,0.01619689
C1,,,0.725,0.05011216
C1,,,0.726,0.05441553
C1,,,0.727,0.0489525
C1,,,0.728,0.05090209
C1,,,0.729,0.03953864
C1,,,0.73,0.02470454
C1,,,0.73,0.03222359
C1,,,0.731,0.04976217
C1,,,0.732,0.04474352
C1,,,0.733,0.02469868
C1,,,0.734,0.03594568
C1,,,0.735,0.04489022
C1,,,0.735,0.02428225
C1,,,0.736,0.01731337
C1,,,0.737,0.01729433
C1,,,0.738,0.01183262
C1,,,0.739,0.02679634
C1,,,0.74,0.05245546
C1,,,0.74,0.05278766
C1,,,0.741,0.05134023
C1,,,0.742,0.05508611
C1,,,0.743,0.04308729
C1,,,0.744,0.04154779
C1,,,0.745,0.04289122
C1,,,0.745,0.0498209
C1,,,0.746,0.04955083
C1,,,0.747,0.03798846
C1,,,0.748,0.05038213
C1,,,0.749,0.05569359
C1,,,0.75,0.0573464
C1,,,0.75,0.05723538
